"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"bằng cấp","dreson","nonword","word","nonword",NA
"quốc tế","đób","nonword","word","nonword",NA
"tích cực","ºi","nonword","word","nonword",NA
"chỉ cần","hấ lách","nonword","word","nonword",NA
"đến nơi","ou lộ","nonword","word","nonword",NA
"ấn tượng","xág vinh","nonword","word","nonword",NA
"vòi sen","xác tđịa","nonword","word","nonword",NA
"thuốc lá","xấu np","nonword","word","nonword",NA
"vé","xây iong","nonword","word","nonword",NA
"câu lạc bộ","xảylub","nonword","word","nonword",NA
"căn nhà","xehbolt","nonword","word","nonword",NA
"rủi ro","xe amặc","nonword","word","nonword",NA
"trị liệu","xeknói","nonword","word","nonword",NA
"biển","krếc","nonword","word","nonword",NA
"đại sứ","skyh đẹp","nonword","word","nonword",NA
"xuống","xúc triệ","nonword","word","nonword",NA
"bầy đàn","ehng","nonword","word","nonword",NA
"che","就這ng đáng","nonword","word","nonword",NA
"sự có mặt","hyun quanh","nonword","word","nonword",NA
"chất độc","hyun quanh","nonword","word","nonword",NA
"bệnh viện","kèu","nonword","word","nonword",NA
"dịch vụ","yêulash","nonword","word","nonword",NA
"trách nhiệm","yếu xộ","nonword","word","nonword",NA
"hội thảo","yêu vlimét","nonword","word","nonword",NA
"tasch sạn","mừn hòa","nonword","nonword","nonword",NA
"düs hôn","viny","nonword","nonword","nonword",NA
"nhậnwem","thươngđighị sĩ","nonword","nonword","nonword",NA
"toànkyo","sứhbình","nonword","nonword","nonword",NA
"trinnhuận","người lào việt","nonword","nonword","nonword",NA
"giải choèn","vấn 幹嘛","nonword","nonword","nonword",NA
"phục vhángb","von thiết","nonword","nonword","nonword",NA
"chúapthí nghiệm","đi dưi","nonword","nonword","nonword",NA
"trộmveal","tổvchuk","nonword","nonword","nonword",NA
"nopin","kiêucrisp","nonword","nonword","nonword",NA
"tønh nọt","wam","nonword","nonword","nonword",NA
"ảnng","chiếnmains","nonword","nonword","nonword",NA
"lâunghiệp","oic","nonword","nonword","nonword",NA
"tôi ok","tạmh cổng","nonword","nonword","nonword",NA
"hội nsẵn","gius sư","nonword","nonword","nonword",NA
"bâ ác","khoagenn","nonword","nonword","nonword",NA
"ebe quân","就這ng đáng","nonword","nonword","nonword",NA
"ỵền","cìzh đạo","nonword","nonword","nonword",NA
"tuyếohđường","tríngnthường","nonword","nonword","nonword",NA
"khiêmchël","cái jum","nonword","nonword","nonword",NA
"dữplish","khépcvẫn","nonword","nonword","nonword",NA
"tỏt","uin","nonword","nonword","nonword",NA
"嵐了","chuyếnrayi","nonword","nonword","nonword",NA
"kiểmzuha","skyh đẹp","nonword","nonword","nonword",NA
"ngor chanh","nỗ lâp","nonword","nonword","nonword",NA
"uỷplar","ivc","nonword","nonword","nonword",NA
"xessh thoảng","đăng tĩnh","nonword","nonword","nonword",NA
"lốczych","lỗu người","nonword","nonword","nonword",NA
"mol bảy","nhà khostrip","nonword","nonword","nonword",NA
"bónsort","morbinh","nonword","nonword","nonword",NA
"guild niên","thuốzels","nonword","nonword","nonword",NA
"ô gáiem","ogc","nonword","nonword","nonword",NA
"oblaphát điện","han vài nơi","nonword","nonword","nonword",NA
"mant tối","sauquãng","nonword","nonword","nonword",NA
"quanmđôi","pfiphản ứng","nonword","nonword","nonword",NA
"piz thiểu","bâi đây","nonword","nonword","nonword",NA
"cuộc xâtyđang","cii","nonword","nonword","nonword",NA
"aci","ban chặt","nonword","nonword","nonword",NA
"chuồnạc bộ","thoát keet","nonword","nonword","nonword",NA
"vso","mesteñolion","nonword","nonword","nonword",NA
"hômgđây","buën tội","nonword","nonword","nonword",NA
"opt ngàn","mùa cing","nonword","nonword","nonword",NA
"cfn","đường ois","nonword","nonword","nonword",NA
"flet triển","cheng quốc","nonword","nonword","nonword",NA
"đau tog","itớ","nonword","nonword","nonword",NA
"thẩthể người","livingssine","nonword","nonword","nonword",NA
"châm năng","chứcalý","nonword","nonword","nonword",NA
"nhuslau","tốiscme","nonword","nonword","nonword",NA
"hoàngsarn","mrol trúc sư","nonword","nonword","nonword",NA
"miềnvàem","ceretans","nonword","nonword","nonword",NA
"riêngkred","lep giác","nonword","nonword","nonword",NA
"cý ràng","cái cri","nonword","nonword","nonword",NA
"ẽn","iăn","nonword","nonword","nonword",NA
"dingản","sốslau","nonword","nonword","nonword",NA
"ý nclửa","sýi tệ","nonword","nonword","nonword",NA
"khaitấạc","kimwloon","nonword","nonword","nonword",NA
"ợc","goobero  gấu mèo","nonword","nonword","nonword",NA
"điều chcon","đásựlái","nonword","nonword","nonword",NA
"món tránrimsung","lîo","nonword","nonword","nonword",NA
"đậpgyk","jii","nonword","nonword","nonword",NA
"ựám","lda học","nonword","nonword","nonword",NA
"đồnun","trung chst","nonword","nonword","nonword",NA
"đúngmone","ie","nonword","nonword","nonword",NA
"sự phốlypop","thủy weg","nonword","nonword","nonword",NA
"clu sàng","viny","nonword","nonword","nonword",NA
"xãchla","diễn viêhưđãổn","nonword","nonword","nonword",NA
"vàor","sự cảnetrin","nonword","nonword","nonword",NA
"bícmới","viêcusgọi","nonword","nonword","nonword",NA
"tána","chón","nonword","nonword","nonword",NA
"goớn","ehekhả năng","nonword","nonword","nonword",NA
"nean","tuyệtdayi","nonword","nonword","nonword",NA
"åi","ngườihchưa","nonword","nonword","nonword",NA
"gey","vưu nói đùa","nonword","nonword","nonword",NA
"phí chính","máy bay trựvechúng","nonword","nonword","nonword",NA
"cơexở","dụngveg","nonword","nonword","nonword",NA
"cờng ngày","màu dßn","nonword","nonword","nonword",NA
"côngchpan","chuyển choff","nonword","nonword","nonword",NA
"brokthơ","thôngcgie","nonword","nonword","nonword",NA
"thẫylỗi","when trị","nonword","nonword","nonword",NA
"nguyêngđến","sự quyếtemtn","nonword","nonword","nonword",NA
"phíaleau","sự thấtayôm","nonword","nonword","nonword",NA
"khlu","bấtbliu","nonword","nonword","nonword",NA
"nẵ sên","tâmliz","nonword","nonword","nonword",NA
"căn fol","phîn","nonword","nonword","nonword",NA
"loolơ mi","ryn","nonword","nonword","nonword",NA
"mãnhnnhân","yêulash","nonword","nonword","nonword",NA
"nghểôngấy","cáivmột","nonword","nonword","nonword",NA
"côurụi","chốtthuyền","nonword","nonword","nonword",NA
"hơin huyền","thronthơ ấu","nonword","nonword","nonword",NA
"thôngphing","muôiikhủng hoảng","nonword","nonword","nonword",NA
"chrb","kiểmlorn","nonword","nonword","nonword",NA
"vũwerp","kyung tượng","nonword","nonword","nonword",NA
"ngtại","hungđịc","nonword","nonword","nonword",NA
"sự tiếhchắc","ldanhân","nonword","nonword","nonword",NA
"têntñixí","đônggyong","nonword","nonword","nonword",NA
"owc","kling lợi","nonword","nonword","nonword",NA
"xelomét","pank lượng","nonword","nonword","nonword",NA
"nhí vận động","đánh vahs","nonword","nonword","nonword",NA
"xìm","lâu tỏi","nonword","nonword","nonword",NA
"fourfnguyện viên","tìm tđặc","nonword","nonword","nonword",NA
"nhg báo","cửtuis","nonword","nonword","nonword",NA
"ngây bac","phầmđịnh","nonword","nonword","nonword",NA
"chiến lsu","kíchhorst","nonword","nonword","nonword",NA
"bệnh hạnh","vệphins","nonword","nonword","nonword",NA
"ếở","iii dương","nonword","nonword","nonword",NA
"lễ hội htasẽsống","land chứng","nonword","nonword","nonword",NA
"sự tcáchti","mha","nonword","nonword","nonword",NA
"dạgiey","màu xanh vanhnói","nonword","nonword","nonword",NA
"nilàmạc nhiên","cuth tây","nonword","nonword","nonword",NA
"oẻo","độngveich","nonword","nonword","nonword",NA
"trạmu đại","chøcđích","nonword","nonword","nonword",NA
"kính thiêlonghs","ngày sinhhimột","nonword","nonword","nonword",NA
"içn","đatrăm","nonword","nonword","nonword",NA
"tuyệtcvik","người nói bơi","nonword","nonword","nonword",NA
"qa số","thanh arch","nonword","nonword","nonword",NA
"chỉtauk","sdaugnh giá","nonword","nonword","nonword",NA
"đoạn phim gihitôiđến","nhgl","nonword","nonword","nonword",NA
"cungóeiện","tuầnclửa","nonword","nonword","nonword",NA
"khuymás","chínhaari","nonword","nonword","nonword",NA
"trận xét","xảylub","nonword","nonword","nonword",NA
"chiếescúp","điềuđira","nonword","nonword","nonword",NA
"vậtnnhiên","ixi","nonword","nonword","nonword",NA
"theo đúng nđườngđến","dhm","nonword","nonword","nonword",NA
"sức okn","ở phíhesun","nonword","nonword","nonword",NA
"highg anh","contrarc","nonword","nonword","nonword",NA
"nelt động","giansort","nonword","nonword","nonword",NA
"quânx viên","yếu xộ","nonword","nonword","nonword",NA
"không hnaylà","nóideup","nonword","nonword","nonword",NA
"muachuyến","sinhchết","nonword","nonword","nonword",NA
"lénthuật","sby điện","nonword","nonword","nonword",NA
"lánhioạn","thănng xuyên","nonword","nonword","nonword",NA
"người môn","krelm sát","nonword","nonword","nonword",NA
"hển ngủ","puy dụng","nonword","nonword","nonword",NA
"uyế","trọngtoin","nonword","nonword","nonword",NA
"đượcscme","sự phhchỉđi","nonword","nonword","nonword",NA
"pash mềm","cçan bóc","nonword","nonword","nonword",NA
"đi chơi ducted","hmo trì","nonword","nonword","nonword",NA
"thếmđược","jäy","nonword","nonword","nonword",NA
"giátriệ","tổvchuk","nonword","nonword","nonword",NA
"schil bị đầu cuối","oei","nonword","nonword","nonword",NA
"bộ sưu tof","chínhaari","nonword","nonword","nonword",NA
"lýatm","liênóđược","nonword","nonword","nonword",NA
"óii","bộnc sĩ","nonword","nonword","nonword",NA
"ino","rinton","nonword","nonword","nonword",NA
"hợpaying","đamtyu","nonword","nonword","nonword",NA
"conc rãi","tranghéo","nonword","nonword","nonword",NA
"phân biệt chủprecht","đại bệ","nonword","nonword","nonword",NA
"cực uỵ","bulk rầy","nonword","nonword","nonword",NA
"treolại","bech động","nonword","nonword","nonword",NA
"diễnorõ","rấ phiếu","nonword","nonword","nonword",NA
"inm","môy","nonword","nonword","nonword",NA
"àtn","hợp joop","nonword","nonword","nonword",NA
"quy trugh","bồn rửtickin","nonword","nonword","nonword",NA
"quanbist","zza ăn","nonword","nonword","nonword",NA
"sốt cterđưa","hài tẳng","nonword","nonword","nonword",NA
"penn tính nữ","nướcàhiểu","nonword","nonword","nonword",NA
"ivn","choxnguyện","nonword","nonword","nonword",NA
"shalaa chọn","đánhotri","nonword","nonword","nonword",NA
"mri biến","kinbatom","nonword","nonword","nonword",NA
"thứhàđi","phản đic","nonword","nonword","nonword",NA
"interland","anh enông","nonword","nonword","nonword",NA
"efn","thénlỗi","nonword","nonword","nonword",NA
"gìi vào","giếtnggười","nonword","nonword","nonword",NA
"dânbột","cái bủa","nonword","nonword","nonword",NA
"trổn tiếp","vũ scứ","nonword","nonword","nonword",NA
"siêu nhnected","vanillalaaaaaaaaa","nonword","nonword","nonword",NA
"mụng","anv","nonword","nonword","nonword",NA
"òt","điếu xì td","nonword","nonword","nonword",NA
"dụnghđộ","trung yì","nonword","nonword","nonword",NA
"nhạnphép","cool cầu","nonword","nonword","nonword",NA
"ờnó","nemnhân","nonword","nonword","nonword",NA
"đại cí","khocg","nonword","nonword","nonword",NA
"anstern","cưây","nonword","nonword","nonword",NA
"smirchy","mùa buy","nonword","nonword","nonword",NA
"toxoc địa","bản fc","nonword","nonword","nonword",NA
"movn","nhgl","nonword","nonword","nonword",NA
"tựlời","rõràngôngấyrất có thể","nonword","nonword","nonword",NA
"congchung","tuyçtử vong","nonword","nonword","nonword",NA
"ăca trêu","cuốicđang","nonword","nonword","nonword",NA
"chị dôi","trùng kook","nonword","nonword","nonword",NA
"cçanh giác","điện troon","nonword","nonword","nonword",NA
"rộng sông","thămoei","nonword","nonword","nonword",NA
"uừm","sươngcbn","nonword","nonword","nonword",NA
"bẩn tião","cai bếp","nonword","nonword","nonword",NA
"vôhcởi","ơin","nonword","nonword","nonword",NA
"hànhưrý","bols hình","nonword","nonword","nonword",NA
"quêtởđó","cươngcường","nonword","nonword","nonword",NA
"gir bạc","imát","nonword","nonword","nonword",NA
"mỉmrecki","phẩmchold","nonword","nonword","nonword",NA
"độc toré","cộngủiồng","nonword","nonword","nonword",NA
"rấởng","gàecky","nonword","nonword","nonword",NA
"iset đạm","phátvệt","nonword","nonword","nonword",NA
"không cóhókhnnhng","yđủ","nonword","nonword","nonword",NA
"ngthe","cras chắn","nonword","nonword","nonword",NA
"aspilots","chđặc","nonword","nonword","nonword",NA
"biểu mạp","thuốhvuông","nonword","nonword","nonword",NA
"đêp hình","tiếng trường","nonword","nonword","nonword",NA
"bài oup","bítolt","nonword","nonword","nonword",NA
"bank tròn","vitacháu","nonword","nonword","nonword",NA
"kim tựtramp","pend trong","nonword","nonword","nonword",NA
"saoclar","bant mặt","nonword","nonword","nonword",NA
"óat","càhvol","nonword","nonword","nonword",NA
"sự trảhưió","swedphần tư","nonword","nonword","nonword",NA
"lk","nghiênvàđang","nonword","nonword","nonword",NA
"phòng vệprick","ghi eg","nonword","nonword","nonword",NA
"vongthương","đób","nonword","nonword","nonword",NA
"hôođược","krếc","nonword","nonword","nonword",NA
"hildthời trang","lịchấprình","nonword","nonword","nonword",NA
"chắc chắturks","địahcmb","nonword","nonword","nonword",NA
"ngườilern","bék bà","nonword","nonword","nonword",NA
"ở nơischáu","centilick","nonword","nonword","nonword",NA
"myop xúc","đếtịch","nonword","nonword","nonword",NA
"cửa ûm","ngườismen","nonword","nonword","nonword",NA
"rohes","bộnữhim","nonword","nonword","nonword",NA
"aw đông","néng","nonword","nonword","nonword",NA
"jju bay","íanh","nonword","nonword","nonword",NA
"tệc","cố界了","nonword","nonword","nonword",NA
"y lyou","trýcem","nonword","nonword","nonword",NA
"sự sángytôi","quyếnuch","nonword","nonword","nonword",NA
"ngàynóđi","âyng","nonword","nonword","nonword",NA
"aay","đấu 加油","nonword","nonword","nonword",NA
"lii","đơnmxong","nonword","nonword","nonword",NA
"sve bình","ưi lượng","nonword","nonword","nonword",NA
"conswa","đầu ủi","nonword","nonword","nonword",NA
"qungđịnh","chứcalý","nonword","nonword","nonword",NA
"ttu tầm","vừa búa","nonword","nonword","nonword",NA
"tậpdinn","thần hịanh","nonword","nonword","nonword",NA
"同啊","lựcnđường","nonword","nonword","nonword",NA
"eich","làmbi","nonword","nonword","nonword",NA
"điể táo","shya binh","nonword","nonword","nonword",NA
"ngthe","người chiếnstains","nonword","nonword","nonword",NA
"tiềncrat","tsuy kỷ","nonword","nonword","nonword",NA
"nhữngkthể nào","trung chst","nonword","nonword","nonword",NA
"sôa điểm","gey","nonword","nonword","nonword",NA
"thsn","tụi chọn","nonword","nonword","nonword",NA
"sự cterất","wib cái","nonword","nonword","nonword",NA
"phátmđiều","hoahanh","nonword","nonword","nonword",NA
"cçnh mạch","biee","nonword","nonword","nonword",NA
"đấyn trọng","crai hành","nonword","nonword","nonword",NA
"wer hành","điut","nonword","nonword","nonword",NA
"giáng hạnó","tộgiác","nonword","nonword","nonword",NA
"thzz","khiêmkeup","nonword","nonword","nonword",NA
"thôngphing","việc kinh vetya","nonword","nonword","nonword",NA
"nhmì","aleh chính","nonword","nonword","nonword",NA
"ăgiú hàng","arg chương","nonword","nonword","nonword",NA
"vớu","hiểubient","nonword","nonword","nonword",NA
"chàopđúng","tráischa","nonword","nonword","nonword",NA
"tựo","phạmnthưởng","nonword","nonword","nonword",NA
"kếscotch","thoă tế","nonword","nonword","nonword",NA
"wam","vụ bmidji","nonword","nonword","nonword",NA
"rotac","conmaha","nonword","nonword","nonword",NA
"dalh dục","người lái ẫm","nonword","nonword","nonword",NA
"nhânkott","mrolthức","nonword","nonword","nonword",NA
"dampnhạc","nóichoơng","nonword","nonword","nonword",NA
"chơii","oả","nonword","nonword","nonword",NA
"người quảcđây","hra","nonword","nonword","nonword",NA
"đấờitrường","hoảng nô","nonword","nonword","nonword",NA
"fsch","mỉng","nonword","nonword","nonword",NA
"huấn luyện fraid","cungmđất","nonword","nonword","nonword",NA
"địp","khdĩ","nonword","nonword","nonword",NA
"choág","tûp","nonword","nonword","nonword",NA
"thanhtroy","okay trọng","nonword","nonword","nonword",NA
"va li cônahlee","xúa","nonword","nonword","nonword",NA
"khoặ bén","ngưiyêphụ nữ","nonword","nonword","nonword",NA
"chỉnern","đlu","nonword","nonword","nonword",NA
"shayen du lịch","gwai sao","nonword","nonword","nonword",NA
"conczyt","căn hộ, chbikịch","nonword","nonword","nonword",NA
"tíchđươc","ung ess","nonword","nonword","nonword",NA
"akac ra","mãinguyện","nonword","nonword","nonword",NA
"jonềắt của lính","roofithuận cạnh tranh","nonword","nonword","nonword",NA
"mối quasiel","ohkm đốc","nonword","nonword","nonword",NA
"hv","chàomuội","nonword","nonword","nonword",NA
"mbp","tựbụi","nonword","nonword","nonword",NA
"uhng","lờithal","nonword","nonword","nonword",NA
"khôngquêngì","trưỡ tiếp","nonword","nonword","nonword",NA
"chiến cmừng","sẵi sợ","nonword","nonword","nonword",NA
"hiệnunàng","giáteáp","nonword","nonword","nonword",NA
"hugothận","oáy","nonword","nonword","nonword",NA
"thim qua","aco hình","nonword","nonword","nonword",NA
"tohứớn","chec trai","nonword","nonword","nonword",NA
"giailigân","uợt","nonword","nonword","nonword",NA
"tiêchhiểu","quái ngược","nonword","nonword","nonword",NA
"chiếnvelanh","tiam","nonword","nonword","nonword",NA
"ie","ino","nonword","nonword","nonword",NA
"gạ súng","nhngh","nonword","nonword","nonword",NA
"lính đánhdashi","người choe","nonword","nonword","nonword",NA
"tinhnkhông may","nữn hứng","nonword","nonword","nonword",NA
"số lyon","đồschel","nonword","nonword","nonword",NA
"lăn ông","hệp phim","nonword","nonword","nonword",NA
"rưdó","chungtalion","nonword","nonword","nonword",NA
"chtr phi","hômotốt","nonword","nonword","nonword",NA
"óió","ginc","nonword","nonword","nonword",NA
"tàu ngoè","ảohscác","nonword","nonword","nonword",NA
"dóa án","độc taan","nonword","nonword","nonword",NA
"tot tước","gưiàg","nonword","nonword","nonword",NA
"hành aaaah","vra trại","nonword","nonword","nonword",NA
"bất hợphgiám","ủy vcous","nonword","nonword","nonword",NA
"ngtrûc dư","bàigott","nonword","nonword","nonword",NA
"sự chuẩdris","tabthảm","nonword","nonword","nonword",NA
"tửbop","tấm chho","nonword","nonword","nonword",NA
"âmcmới","sịm","nonword","nonword","nonword",NA
"đếnmđôi","đệmnphương","nonword","nonword","nonword",NA
"câyhpie","nhânmệt","nonword","nonword","nonword",NA
"người lớnetrin","sựtuyệp kiến","nonword","nonword","nonword",NA
"phầnkyo","hli","nonword","nonword","nonword",NA
"bác sĩ phẫcarthur","đáng thươnsytôi","nonword","nonword","nonword",NA
"teléthủy tinh","nho sức","nonword","nonword","nonword",NA
"vie giới","ozy hiệu","nonword","nonword","nonword",NA
"aik vực","nụa ăn","nonword","nonword","nonword",NA
"chén biển","sự thử schitz","nonword","nonword","nonword",NA
"nôngoâng","uãy","nonword","nonword","nonword",NA
"hupthuật","quánrob","nonword","nonword","nonword",NA
"pazh trọng","merquang","nonword","nonword","nonword",NA
"lightstal","xúc triệ","nonword","nonword","nonword",NA
"cotsợ hãi","uyng sản","nonword","nonword","nonword",NA
"khinóithoải mái","nguyêntopp","nonword","nonword","nonword",NA
"kush tích","danhvớiông","nonword","nonword","nonword",NA
"niel sách","ềni ý","nonword","nonword","nonword",NA
"ảohgiới","điwop","nonword","nonword","nonword",NA
"nghtinga","phònghịêm","nonword","nonword","nonword",NA
"nhngk mười một","uòi","nonword","nonword","nonword",NA
"díhdập","chnh ngạc","nonword","nonword","nonword",NA
"dânpđể","hoàn shank","nonword","nonword","nonword",NA
"crish sách","mcaf tây","nonword","nonword","nonword",NA
"kếthiel","chuẩn bmxoáy","nonword","nonword","nonword",NA
"rắcurds","cầnxnhật","nonword","nonword","nonword",NA
"bảo iần","âc","nonword","nonword","nonword",NA
"tíchđươc","ngườichứạ","nonword","nonword","nonword",NA
"trang thiếphet","mỉapair","nonword","nonword","nonword",NA
"màu ơơ","hotch hàng","nonword","nonword","nonword",NA
"mệy dựng","chvề","nonword","nonword","nonword",NA
"xeslau","xệi đau","nonword","nonword","nonword",NA
"độngmùi","tuớc","nonword","nonword","nonword",NA
"vôkênh","hướnghzun","nonword","nonword","nonword",NA
"đồng nchiếm","thể chcô","nonword","nonword","nonword",NA
"àang đáng","phângrung","nonword","nonword","nonword",NA
"bộnh","chínhchắc","nonword","nonword","nonword",NA
"lauoojn","hoàn shank","nonword","nonword","nonword",NA
"aing","cogoff","nonword","nonword","nonword",NA
"nguô ngừa","nghĩahïióng","nonword","nonword","nonword",NA
"thư 學校","đểecky","nonword","nonword","nonword",NA
"loài sư","gotc họp","nonword","nonword","nonword",NA
"những cậgeev","ủynoon","nonword","nonword","nonword",NA
"réng","armowitz","nonword","nonword","nonword",NA
"nga viện","xe amặc","nonword","nonword","nonword",NA
"àđm","sia","nonword","nonword","nonword",NA
"sadow piano","atec giác","nonword","nonword","nonword",NA
"mátrảnh","baal nôn","nonword","nonword","nonword",NA
"onb","cơtrànngp","nonword","nonword","nonword",NA
"tráºg","whoosn nhủ","nonword","nonword","nonword",NA
"người edu","giảnhub","nonword","nonword","nonword",NA
"xessh thoảng","đánh bắdield","nonword","nonword","nonword",NA
"chờ ài","mº lực","nonword","nonword","nonword",NA
"trjo","đầu ưoi","nonword","nonword","nonword",NA
"sa mẹt","quis","nonword","nonword","nonword",NA
"lịchchủ","spryn toàn","nonword","nonword","nonword",NA
"punt chắc","từbrist","nonword","nonword","nonword",NA
"eru nâu","bên nóith","nonword","nonword","nonword",NA
"tanishly","oco","nonword","nonword","nonword",NA
"ngành công o việt","ác qél","nonword","nonword","nonword",NA
"ngừng kiến","tốclên","nonword","nonword","nonword",NA
"thươngogót","juminy","nonword","nonword","nonword",NA
"taa tảng","conhọđến","nonword","nonword","nonword",NA
"cái vởn","phòng glàm","nonword","nonword","nonword",NA
"eoc","vui sing","nonword","nonword","nonword",NA
"congenn","nhânhđoạt","nonword","nonword","nonword",NA
"đio","rứ","nonword","nonword","nonword",NA
"quái snó","lyb tụy","nonword","nonword","nonword",NA
"bí quyết, ththiếumột","họa ơr","nonword","nonword","nonword",NA
"dro","congchung","nonword","nonword","nonword",NA
"kinhien","unt","nonword","nonword","nonword",NA
"vũnđàng","điều tra reﬂy","nonword","nonword","nonword",NA
"overcellor","zed tiễn","nonword","nonword","nonword",NA
"chròi","lạmcùng","nonword","nonword","nonword",NA
"tha vod","cà hcơ","nonword","nonword","nonword",NA
"yar giúp","acu trưởng","nonword","nonword","nonword",NA
"kaf tĩnh","nướchoen","nonword","nonword","nonword",NA
"chuồnkhóa","dạynó vật","nonword","nonword","nonword",NA
"nhìn neel","óe","nonword","nonword","nonword",NA
"vcng đầu","truyên hđồng","nonword","nonword","nonword",NA
"trượu","ferra","nonword","nonword","nonword",NA
"hho","lập kchitsch","nonword","nonword","nonword",NA
"nhét cấp","thêmhvar","nonword","nonword","nonword",NA
"tộ số","sự công vinh","nonword","nonword","nonword",NA
"kup","tcá lượng","nonword","nonword","nonword",NA
"thoải ðài","thaicặp","nonword","nonword","nonword",NA
"lòcàngsáng","tủchồ","nonword","nonword","nonword",NA
"làa tiền","ién","nonword","nonword","nonword",NA
"đườngcno","sự chấphtrung","nonword","nonword","nonword",NA
"nôvni","kính hiểhhắn","nonword","nonword","nonword",NA
"chỉay","saunis","nonword","nonword","nonword",NA
"cass cùng","friz hòa nhạc","nonword","nonword","nonword",NA
"thành gứi","mych dịch","nonword","nonword","nonword",NA
"bàncát","nhàyaut","nonword","nonword","nonword",NA
"ấnhtđứng","muñnh chấp","nonword","nonword","nonword",NA
"viên chiếm","saoloth","nonword","nonword","nonword",NA
"ìna đêm","ææi","nonword","nonword","nonword",NA
"tổ chức từđâuđến","ngườihtrởlại","nonword","nonword","nonword",NA
"ălng","cậuiya","nonword","nonword","nonword",NA
"hàngplett","sự liêscotch","nonword","nonword","nonword",NA
"sốàđượng","cuộc bầhhim","nonword","nonword","nonword",NA
"imolệnh","lýi","nonword","nonword","nonword",NA
"bẩn tião","liênblad","nonword","nonword","nonword",NA
"quýquit","bắtbrén","nonword","nonword","nonword",NA
"thỏa mầu","imy","nonword","nonword","nonword",NA
"gitog","dite","nonword","nonword","nonword",NA
"cruinrel","nim móc","nonword","nonword","nonword",NA
"ảnm","sai lầm, điều saihôngđếngần","nonword","nonword","nonword",NA
"bấtolệnh","síi","nonword","nonword","nonword",NA
"việnnphẫu học","cao anít","nonword","nonword","nonword",NA
"súngcnic","cras chắn","nonword","nonword","nonword",NA
"ngôi đop","ợc","nonword","nonword","nonword",NA
"tờy","thiênecting","nonword","nonword","nonword",NA
"cacoĩ","sinhbast","nonword","nonword","nonword",NA
"bánchínk","âìn","nonword","nonword","nonword",NA
"dichãyđến","thôngdaio","nonword","nonword","nonword",NA
"terh hồn","bốntthơ","nonword","nonword","nonword",NA
"vậtfes","taamnhắn","nonword","nonword","nonword",NA
"vãm","brod tiệc","nonword","nonword","nonword",NA
"môi trngng","sổn","nonword","nonword","nonword",NA
"bảoefm","chủ hồi","nonword","nonword","nonword",NA
"ngvûi","tráog","nonword","nonword","nonword",NA
"iềm","bị kíchhữuích","nonword","nonword","nonword",NA
"ểung","công tố unđum","nonword","nonword","nonword",NA
"xelomét","tsuh quang","nonword","nonword","nonword",NA
"đặhtruyền","điut","nonword","nonword","nonword",NA
"cãp","tụi chọn","nonword","nonword","nonword",NA
"ứanh","bic liệu","nonword","nonword","nonword",NA
"kib mưa","tempsở chính","nonword","nonword","nonword",NA
"sự mongchung","tuếkhoác","nonword","nonword","nonword",NA
"ugnh","嵐了","nonword","nonword","nonword",NA
"côngcgiày","sinh vậthews","nonword","nonword","nonword",NA
"thuốnósáng","kinh tựuở","nonword","nonword","nonword",NA
"phi hàchỉđưa","kẻ bắtñthn","nonword","nonword","nonword",NA
"đặc chưng","hấ lách","nonword","nonword","nonword",NA
"uku liệu","psu","nonword","nonword","nonword",NA
"tùnh","thếcomới","nonword","nonword","nonword",NA
"bờsđiểm","giai đoạn =derink","nonword","nonword","nonword",NA
"trvẵngại","không cônlesông","nonword","nonword","nonword",NA
"pyt","hoànstran","nonword","nonword","nonword",NA
"từhcháu","inữ","nonword","nonword","nonword",NA
"ưông","ánhchẳng","nonword","nonword","nonword",NA
"thểo kem","àai mãi","nonword","nonword","nonword",NA
"tươngnait","posman","nonword","nonword","nonword",NA
"ã nh","xấu np","nonword","nonword","nonword",NA
"ode súng","hyun quanh","nonword","nonword","nonword",NA
"oàng","hàngsturg","nonword","nonword","nonword",NA
"ofuh diện","ngàyeughỉ","nonword","nonword","nonword",NA
"sherport","ctp","nonword","nonword","nonword",NA
"đừngkkhông","txai","nonword","nonword","nonword",NA
"cái chup","nướzurp","nonword","nonword","nonword",NA
"tâm chor","sự lôilạéo","nonword","nonword","nonword",NA
"chuf","thách được","nonword","nonword","nonword",NA
"nhhé","trasahn","nonword","nonword","nonword",NA
"ởyu chất","tinh blow","nonword","nonword","nonword",NA
"khâm chềl","thôngprint","nonword","nonword","nonword",NA
"đơnhkể","lipu","nonword","nonword","nonword",NA
"kiểmzuha","vô tráchvewill","nonword","nonword","nonword",NA
"wup biển","voig vĩ","nonword","nonword","nonword",NA
"nguyênlha","dấu vânarồi","nonword","nonword","nonword",NA
"sót nặng","sự hoansagnas","nonword","nonword","nonword",NA
"thiênóiđúng","thoy kế","nonword","nonword","nonword",NA
"cocđứng","thânfret","nonword","nonword","nonword",NA
"nữchuóng","nolh tay","nonword","nonword","nonword",NA
"bángđộng","đảt","nonword","nonword","nonword",NA
"mộtnóinh","uza dàng","nonword","nonword","nonword",NA
"dềy đàn","hoài ndắt","nonword","nonword","nonword",NA
"công nbén","thậthoy","nonword","nonword","nonword",NA
"đắ","tườngnaline","nonword","nonword","nonword",NA
"mli học","sứctphẩm","nonword","nonword","nonword",NA
